file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\Gabriel\Documents\GitHub\Lab-de-Experimentacao-de-Software-2\work_one\iluwatar\java-design-patterns\hexagonal-architecture\src\main\java\com\iluwatar\hexagonal\eventlog\StdOutEventLog.java,com.iluwatar.hexagonal.eventlog.StdOutEventLog,ticketDidNotWin/1[com.iluwatar.hexagonal.eventlog.PlayerDetails],false,43,1,1,1,0,1,2,3,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14,1,1,false
C:\Users\Gabriel\Documents\GitHub\Lab-de-Experimentacao-de-Software-2\work_one\iluwatar\java-design-patterns\hexagonal-architecture\src\main\java\com\iluwatar\hexagonal\eventlog\StdOutEventLog.java,com.iluwatar.hexagonal.eventlog.StdOutEventLog,ticketSubmitError/1[com.iluwatar.hexagonal.eventlog.PlayerDetails],false,67,1,1,1,0,1,2,3,0,0,1,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,15,1,1,false
C:\Users\Gabriel\Documents\GitHub\Lab-de-Experimentacao-de-Software-2\work_one\iluwatar\java-design-patterns\hexagonal-architecture\src\main\java\com\iluwatar\hexagonal\eventlog\StdOutEventLog.java,com.iluwatar.hexagonal.eventlog.StdOutEventLog,ticketSubmitted/1[com.iluwatar.hexagonal.eventlog.PlayerDetails],false,35,1,1,1,0,1,3,3,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,1,1,false
C:\Users\Gabriel\Documents\GitHub\Lab-de-Experimentacao-de-Software-2\work_one\iluwatar\java-design-patterns\hexagonal-architecture\src\main\java\com\iluwatar\hexagonal\eventlog\StdOutEventLog.java,com.iluwatar.hexagonal.eventlog.StdOutEventLog,"prizeError/2[com.iluwatar.hexagonal.eventlog.PlayerDetails,int]",false,59,1,1,1,0,1,2,3,0,0,2,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,13,1,1,false
C:\Users\Gabriel\Documents\GitHub\Lab-de-Experimentacao-de-Software-2\work_one\iluwatar\java-design-patterns\hexagonal-architecture\src\main\java\com\iluwatar\hexagonal\eventlog\StdOutEventLog.java,com.iluwatar.hexagonal.eventlog.StdOutEventLog,"ticketWon/2[com.iluwatar.hexagonal.eventlog.PlayerDetails,int]",false,50,1,1,1,0,1,3,3,0,0,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14,1,1,false
C:\Users\Gabriel\Documents\GitHub\Lab-de-Experimentacao-de-Software-2\work_one\iluwatar\java-design-patterns\hexagonal-architecture\src\main\java\com\iluwatar\hexagonal\sampledata\SampleData.java,com.iluwatar.hexagonal.sampledata.SampleData,getRandomPlayerDetails/0,false,106,1,1,1,0,1,3,3,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,0,false
C:\Users\Gabriel\Documents\GitHub\Lab-de-Experimentacao-de-Software-2\work_one\iluwatar\java-design-patterns\hexagonal-architecture\src\main\java\com\iluwatar\hexagonal\sampledata\SampleData.java,com.iluwatar.hexagonal.sampledata.SampleData,(initializer 1),false,45,3,1,0,1,1,7,5,0,2,0,7,0,0,0,0,0,0,117,0,2,0,0,0,0,1,16,8,0,false
C:\Users\Gabriel\Documents\GitHub\Lab-de-Experimentacao-de-Software-2\work_one\iluwatar\java-design-patterns\hexagonal-architecture\src\main\java\com\iluwatar\hexagonal\sampledata\SampleData.java,com.iluwatar.hexagonal.sampledata.SampleData,"submitTickets/2[com.iluwatar.hexagonal.domain.LotteryService,int]",false,96,6,6,2,4,2,3,9,0,5,2,3,1,1,1,0,0,0,0,1,5,0,1,0,0,0,25,9,0,true
C:\Users\Gabriel\Documents\GitHub\Lab-de-Experimentacao-de-Software-2\work_one\iluwatar\java-design-patterns\hexagonal-architecture\src\test\java\com\iluwatar\hexagonal\database\MongoTicketRepositoryTest.java,com.iluwatar.hexagonal.database.MongoTicketRepositoryTest,init/0,false,51,4,2,0,2,1,5,7,0,1,0,5,0,0,0,0,0,0,2,0,2,0,0,0,0,0,14,0,0,false
C:\Users\Gabriel\Documents\GitHub\Lab-de-Experimentacao-de-Software-2\work_one\iluwatar\java-design-patterns\hexagonal-architecture\src\test\java\com\iluwatar\hexagonal\database\MongoTicketRepositoryTest.java,com.iluwatar.hexagonal.database.MongoTicketRepositoryTest,testSetup/0,false,63,1,0,0,0,1,4,4,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,false
C:\Users\Gabriel\Documents\GitHub\Lab-de-Experimentacao-de-Software-2\work_one\iluwatar\java-design-patterns\hexagonal-architecture\src\test\java\com\iluwatar\hexagonal\database\MongoTicketRepositoryTest.java,com.iluwatar.hexagonal.database.MongoTicketRepositoryTest,testCrudOperations/0,false,76,6,5,0,5,1,15,17,0,6,0,15,0,0,0,0,0,0,6,2,6,0,0,0,0,0,18,0,0,false
C:\Users\Gabriel\Documents\GitHub\Lab-de-Experimentacao-de-Software-2\work_one\iluwatar\java-design-patterns\hexagonal-architecture\src\test\java\com\iluwatar\hexagonal\database\MongoTicketRepositoryTest.java,com.iluwatar.hexagonal.database.MongoTicketRepositoryTest,testNextId/0,false,69,2,1,0,1,1,2,5,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,false
C:\Users\Gabriel\Documents\GitHub\Lab-de-Experimentacao-de-Software-2\work_one\iluwatar\java-design-patterns\hexagonal-architecture\src\test\java\com\iluwatar\hexagonal\domain\LotteryTicketCheckResultTest.java,com.iluwatar.hexagonal.domain.LotteryTicketCheckResultTest,testEquals/0,false,37,2,1,0,1,1,2,7,0,3,0,2,0,0,0,0,0,0,0,1,3,0,0,0,0,0,12,0,0,false
C:\Users\Gabriel\Documents\GitHub\Lab-de-Experimentacao-de-Software-2\work_one\iluwatar\java-design-patterns\hexagonal-architecture\src\main\java\com\iluwatar\hexagonal\service\LotteryConsoleService.java,com.iluwatar.hexagonal.service.LotteryConsoleService,"checkTicket/2[com.iluwatar.hexagonal.domain.LotteryService,java.util.Scanner]",false,34,1,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,false
